SYMPTOM_IDX,START_CHAR,END_CHAR
0,224,229
0,533,539
0,1708,1714
0,4439,4445
0,5273,5279
1,701,717
2,721,742
3,1041,1079
4,1147,1163
4,1329,1336
4,5296,5322
5,1147,1163
5,1252,1268
5,5296,5322
6,1147,1163
6,1182,1187
6,5296,5322
7,1147,1163
7,1242,1249
7,5296,5322
8,1147,1163
8,1313,1324
8,5282,5293
8,5296,5322
9,1147,1163
9,1285,1310
9,5296,5322
10,1354,1373
11,1424,1436
12,1441,1453
13,1672,1680
14,1683,1689
15,1694,1705
16,1738,1744
17,1761,1766
18,1771,1779
19,1781,1789
20,1836,1855
21,1880,1883
22,1886,1895
23,1898,1908
24,1911,1917
25,1922,1930
26,1940,1948
27,1965,1976
28,6422,6439
29,6840,6852
30,6886,6894
